id	label	x	y	cluster	weight<Links>	weight<Total link strength>
96	 firmar	-0.4327	-0.5898	11	2	2
97	 iban	-0.1153	-0.3226	11	3	3
98	 matar	-0.2574	-0.5948	11	3	3
99	 pedro jaraba	-0.2933	-0.4611	11	12	12
105	 josé humberto sánchez zapata	-0.1721	0.3244	2	4	4
107	 asesinarlo	-0.0352	0.1604	2	2	2
108	 gladis elena lora sánchez	-0.1763	-0.2176	5	4	4
109	 asesinado	-0.2001	-0.0265	5	5	8
110	 acercaron	-0.2496	-0.2985	5	2	2
111	 dispararon	-0.3211	-0.1406	5	3	3
112	 rodrigo ahumada lomando	-0.168	-0.2008	5	4	4
113	 willinton mora buenhaber	0.4204	-0.0087	14	10	10
114	 dio	0.2358	-0.2247	14	6	6
115	 matarlo	0.574	0.0299	14	2	2
116	 da	0.1353	0.088	4	6	6
117	 entregaron	0.5534	0.1051	14	2	2
118	 además participaron	0.5249	0.1212	14	2	2
119	 participaron	0.4961	0.136	14	2	2
120	 pulga	0.5435	0.076	14	2	2
121	 ubicar	0.5741	0.0645	14	2	2
122	 rodrigo alfonso ahumada lomanto	0.4143	0.0037	14	10	10
123	 josé gregorio	-0.0681	-0.328	6	18	18
124	 transmitió	-0.0985	0.122	13	4	5
126	 nubia stella monroy rodríguez	1.1713	0.6467	17	3	5
127	 avoca	1.2788	0.7353	17	1	3
128	 rodrigo alfonso ahumada	1.1394	0.5805	17	2	2
129	 hace	0.9953	0.4947	17	4	4
130	 accionar	1.2292	0.6629	17	3	3
131	 willington mora buenhaber	1.1201	0.6066	17	2	2
132	 carlos tijeras	-0.1449	-0.3976	11	5	7
139	 informe	-1.7247	-0.4786	12	2	3
140	 josé alejandro lacera campo	-1.5472	-0.4109	12	9	14
141	 establecer	-1.2129	-0.3287	12	4	5
142	 define	-1.5934	-0.5581	12	3	4
143	 victima	-1.667	-0.4919	12	3	7
144	 lacera	-1.6469	-0.4421	12	3	4
145	 califica	-1.6231	-0.5377	12	3	4
146	 confirma	-1.6321	-0.5038	12	3	4
147	 josé toro vega	-1.5095	-0.4213	12	9	16
148	 marta cristina	-1.4727	-0.4444	12	6	6
149	 condena	-1.714	-0.43	12	2	3
150	 campo	-1.7083	-0.3854	12	2	3
151	 rafael antonio pinto navarro	0.3281	0.7553	1	1	1
154	 jesús maría henríquez	0.206	-0.4559	15	3	3
155	 sucedió	0.0533	-0.5386	6	5	5
157	 ir	0.2461	-0.2962	15	2	2
160	 josé gregorio rojas	-0.1397	0.4375	13	7	10
161	 señor hernán giraldo serna	-0.0546	0.2474	13	3	3
162	 rubén giraldo	-0.0783	0.2722	13	3	3
163	 josé gregorio rojas mendoza	0.2843	-0.4249	14	1	1
168	 hernán giraldo	-0.0506	-0.3968	6	17	17
171	 taganga- magdalena	-0.0885	-0.4098	6	16	16
172	 pusieran	-0.1621	-0.5602	6	4	4
173	 enteró	-0.0868	-0.5582	6	4	4
174	 había dado	0.001	-0.5522	6	4	4
175	 dado	-0.1838	-0.5316	6	4	4
176	 saber	-0.1266	-0.581	6	4	4
177	 comunicó	-0.0212	-0.578	6	4	4
178	 habían	0.0264	-0.2226	6	6	7
179	 habían cumplido	-0.0435	-0.5541	6	4	4
180	 cumplido	-0.0926	-0.5886	6	4	4
181	 quedando	-0.1306	-0.5493	6	4	4
182	 averiguar	-0.0577	-0.5867	6	4	4
183	 estuvo	0.0928	-0.3066	6	5	5
184	 adriano sánchez	-0.1038	-0.4131	6	16	16
185	 rafael antonio	-0.1864	0.8162	13	4	4
186	 diagrama	-0.1253	0.6923	13	3	3
187	 mercedes	-0.1703	0.6875	13	3	3
188	 rojas	-0.1485	0.6895	13	3	3
189	 mendoza383	-0.1934	0.6865	13	3	3
190	 maría mercedes matos	-0.1543	0.819	13	4	4
191	 jorge eliecer barrios formaris	0.1182	0.3433	1	5	5
192	 disparar	0.363	0.3212	1	2	2
194	 jhon fredy rojas marín	-0.8227	-0.1973	12	4	4
199	 señaló	-0.9997	-0.2709	12	1	1
200	 rafael eduardo julio	0.5049	-0.2078	7	30	46
201	 acta	0.7903	-0.3856	7	1	1
203	 clip	0.7644	-0.6371	16	3	4
205	 juan raicar varela silva	-0.1619	0.247	4	7	7
206	 fueron	-0.3335	0.4517	4	18	20
207	 fueron sorprendidos	-0.2935	0.5135	4	13	14
208	 sorprendidos	-0.307	0.5008	4	13	14
209	 asesinarlos	-0.3373	0.3255	4	10	10
210	 héctor julio ortiz salcedo	-0.1687	0.2344	4	7	7
211	 chiquito cuello	0.4121	-0.2713	19	6	7
212	 señala	0.4857	-0.3842	8	6	9
217	 estaban	0.574	-0.3772	19	3	4
226	 presentó	0.5747	-0.0288	19	2	2
227	 negro sabrosón	0.5486	-0.2835	20	4	6
228	 diéramos	0.6757	-0.3851	20	1	2
229	 estaba	0.5429	-0.1797	7	6	11
231	 edgar ignacio fierro florez	-0.5333	-0.1284	9	11	11
232	 aclara	-0.7022	-0.2046	9	2	2
233	 no había	-0.708	-0.1454	9	2	2
234	 no había sido	-0.6319	-0.2682	9	2	2
235	 había sido comentado	-0.6571	-0.2523	9	2	2
236	 sido comentado	-0.673	-0.2093	9	2	2
237	 comentado	-0.6824	-0.2375	9	2	2
238	 no había sido comentado	-0.7045	-0.1752	9	2	2
239	 héctor julio	-0.5414	-0.1173	9	11	11
240	 ever mariano	0.6663	0.2344	19	8	9
243	 sucedido	0.8185	0.3537	19	1	2
247	 eran	0.2302	0.187	18	6	8
253	 ciencias forenses	0.8858	-0.7664	16	1	1
255	 pablo taborda yance	-0.2163	0.1989	5	9	10
256	 fueron encontrados	-0.216	0.3913	5	3	3
257	 encontrados	-0.187	0.3976	5	3	3
258	 osvaldo antonio martínez cantillo	-0.2245	0.5256	5	3	3
259	 pernoctando	-0.3455	0.1569	5	3	3
260	 atado	-0.325	0.1904	5	3	3
261	 acceder	-0.3431	0.1165	5	3	3
262	 taborda yance	-0.2225	0.0821	5	6	7
263	 osvaldo antonio martínez	-0.2148	0.1035	5	6	7
264	 ricardo martin robert	-0.4693	0.0056	5	3	3
266	 llevaron	-0.6709	-0.0219	10	4	5
269	 chiqui rey ñoño martin	0.7199	-0.0056	15	2	2
271	 llevamos	0.4922	-0.0419	15	4	4
272	 dirigimos	0.5944	-0.4858	7	2	2
273	 sacamos	0.4936	-0.4823	7	4	8
274	 estaba huyendo	0.6151	-0.4625	7	2	2
275	 huyendo	0.3192	-0.2512	7	3	4
276	 damos	0.6146	-0.383	7	3	3
277	 encuentra	0.5668	-0.5023	7	2	2
278	 manifestó yance él vivía	0.4405	-0.3916	7	8	11
279	 pedro luis castro escorcia	-0.6059	0.1082	10	15	32
280	 derribar	-0.8163	0.1937	10	3	4
281	 ingresar	-0.8019	0.1391	10	3	4
282	 interrogaron	-0.8265	0.1612	10	3	4
283	 sometido	-0.7698	0.2408	10	3	4
284	 introdujeron	-0.8032	0.0955	10	3	4
285	 rompió	-0.8329	0.0932	10	3	4
286	 informar	-0.8324	0.1268	10	3	4
287	 trasladados	-0.8219	0.0602	10	3	4
288	 asesinar	-0.2194	0.0171	10	5	6
289	 posteriormente pintaron	-0.7933	0.2193	10	3	4
290	 pintaron	-0.7889	0.181	10	3	4
291	 jairo antonio castro escorcia	-0.6089	0.096	10	15	16
292	 jesús escorcia zarate	-0.6038	0.1205	10	15	16
302	 edgar ignacio fierro flores	0.5444	-0.8779	16	3	5
303	 jair josé martes reyes	-0.4459	0.6715	4	6	6
304	 dejando	-0.5267	0.7877	4	6	7
305	 cobrar	-0.4945	0.8287	4	4	5
306	 evaristo josé mendoza rodríguez	-0.3991	0.6878	4	6	6
307	 roberto rafael racedo mercado	-0.422	0.6792	4	6	6
308	 alexander pedroza rojano	-0.4705	0.6587	4	6	12
310	 rafael josé segura gómez	-0.4734	0.6193	4	5	5
311	 rafael josé segura	-0.4346	0.6356	4	5	5
313	 erwin cepeda calao	-0.4634	0.5126	4	5	5
314	 ricardo lidueña iglesia	-0.4315	0.536	4	5	5
315	 estaba robando	0.6665	-0.3221	7	2	4
316	 robando	0.6992	-0.2038	7	2	6
317	 estaban robando	0.7083	-0.2782	7	2	2
318	 ubica	0.6788	-0.2902	7	2	2
319	 dirijo	0.7023	-0.2443	7	2	4
320	 jorge ignacio	0.4831	-0.1639	7	15	21
321	 eduardo rafael	-0.6379	0.3605	2	9	9
322	 seguidamente fueron	-0.774	0.4707	2	2	2
323	 fueron llevados	-0.7985	0.4188	2	2	2
324	 llevados	-0.7889	0.4472	2	2	2
325	 seguidamente fueron llevados	-0.752	0.4912	2	2	2
326	 randi escobar morales	-0.6302	0.3732	2	9	9
342	 rancho grande	-0.2035	-0.0713	9	5	7
351	 darwin antonio tejada	-0.0528	0.4268	18	10	10
352	 eran acusados	-0.0545	0.601	18	2	2
353	 acusados	0.032	0.5794	18	2	2
354	 realizar	-0.003	0.601	18	2	2
355	 josé luís moreno murillo	-0.0476	0.4385	18	10	10
356	 según precisó	-0.5795	-0.471	9	1	1
361	 julio soldadito camilo chiqui	0.0973	-0.8168	8	2	2
363	 hizo	0.1087	-1.0135	8	1	1
370	 josé luis	0.3518	-0.3996	8	2	3
371	 santa marta	0.2343	-0.0749	15	6	6
378	 vamos	0.3189	-0.0728	15	2	2
379	 robert tata	0.1362	-0.1002	15	9	11
393	 tata chiqui	0.3577	-0.4363	8	6	6
395	 asesine	0.4022	-0.6153	8	2	2
396	 disparo	0.5248	-0.313	8	3	3
397	 entra	0.7661	-0.1014	8	2	2
398	 pone	0.7571	-0.1569	8	2	2
399	 tira	0.7761	-0.1339	8	2	2
400	 disparo pido	0.7573	-0.2088	8	2	2
401	 pido	0.7728	-0.1812	8	2	2
402	 alias robert	0.6073	-0.1088	8	8	8
406	 castulo rafael hernández bustamante	-0.2595	0.325	4	7	7
413	 farith enrique zambrano meza	-0.103	0.2433	5	5	6
416	 reynaldo orozco escorcia	0.3127	-0.5549	8	4	4
